"1;A-Bomb;38;100;17;80;24;64;Richard Milhouse Jones;No alter egos found.;Rick Jones;Scarsdale; Arizona;Hulk Vol 2 #2 (April; 2008) (as A-Bomb);Marvel Comics;good;Male;Human;6'8;203 cm;980 lb;441 kg;Yellow;No Hair;Musician; adventurer;
"2;Abe Sapien;88;28;35;65;100;85;Abraham Sapien;No alter egos found.;Langdon Everett Caul;-;Hellboy: Seed of Destruction (1993);Dark Horse Comics;good;Male;Icthyo Sapien;6'3;191 cm;145 lb;65 kg;Blue;No Hair;Paranormal Investigator;-;Bureau for Paranormal Research and Defense;Edith Howard (wife;
"3;Abin Sur;50;90;53;64;99;65;;No alter egos found.;Lagzia;Ungara;Showcase #22 (October; 1959);DC Comics;good;Male;Ungaran;6'1;185 cm;200 lb;90 kg;Blue;No Hair;Green Lantern; former history professor;Oa;
"4;Abomination;63;80;53;90;62;95;Emil Blonsky;No alter egos found.;Agent R-7;Zagreb; Yugoslavia;Tales to Astonish #90;Marvel Comics;bad;Male;Human / Radiation;6'8;203 cm;980 lb;441 kg;Green;No Hair;Ex-Spy;Mobile;former member of the crew of the Andromeda Starship;
"5;Abraxas;88;63;83;100;100;55;Abraxas;No alter egos found.;-;Within Eternity;Fantastic Four Annual #2001;Marvel Comics;bad;Male;Cosmic Entity;-;0 cm;- lb;0 kg;Blue;Black;Dimensional destroyer;-;Cosmic Beings;Eternity (Father);
"6;Absorbing Man;38;80;25;100;98;64;Carl Creel;No alter egos found.;Greithoth;New York City; New York;Daredevil #1 (April; 1964) (As Rocky Davis);Marvel Comics;bad;Male;Human;6'4;193 cm;270 lb;122 kg;Blue;No Hair;Professional criminal"	" former professional boxer;-;
"7;Adam Monroe;63;10;12;100;100;64;;No alter egos found.;Takezo Kensei;-;Heroes S02E01 - Four Months Later...;NBC - Heroes;good;Male;0;-;0 cm;- lb;0 kg;Blue;Blond;former samurai swordsman; former British mercenary commander; former soldier in the Confederate Army;U.S."	" formerly Diedenshausen;
"8;Adam Strange;69;10;33;40;37;50;Adam Strange;No alter egos found.;Warrior of Two Worlds;Chicago; Illinois;Outsiders #6 (April; 1986);DC Comics;good;Male;Human;6'1;185 cm;195 lb;88 kg;Blue;Blond;Adventurer; archaelogist;
"9;Agent 13;0;46;0;0;0;0;Sharon Carter;Sharon Carter;-;-;Tales of Suspense #75;Sharon Carter;good;Female;0;5'8;173 cm;135 lb;61 kg;Blue;Blond;Agent of SHIELD;S.H.I.E.L.D. Headquarters; New York City;Agent of SHIELD."	" former member of the Femme Force;
"10;Agent Bob;10;8;13;5;5;20;Bob;No alter egos found.;Bob;-;Cable & Deadpool #38 (May; 2007);Marvel Comics;good;Male;Human;5'10;178 cm;181 lb;81 kg;Brown;Brown;Mercenary; janitor"	" former pirate; terrorist;
"11;Agent Zero;75;28;38;80;72;95;Christoph Nord;No alter egos found.;Maverick;Unrevealed location in former East Germany;-;Marvel Comics;good;Male;0;6'3;191 cm;230 lb;104 kg;-;-;Mercenary; former government operative; freedom fighter;-;
"12;Air-Walker;50;85;100;85;100;40;Gabriel Lan;No alter egos found.;-;Xandar; a planet in the Tranta system; Andromeda galaxy;Fantastic Four #120;Marvel Comics;bad;Male;0;6'2;188 cm;240 lb;108 kg;Blue;White;Former starship captain; Herald of Galactus;
"13;Ajax;56;48;35;80;34;55;Francis;No alter egos found.;Frankie;-;Deadpool #14 (March; 1998);Marvel Comics;bad;Male;Cyborg;6'4;193 cm;200 lb;90 kg;Brown;Black;-;-;Formerly Weapon X;
"14;Alan Scott;63;80;23;90;100;32;Alan Ladd Wellington Scott;No alter egos found.;Green Lantern;Gotham City;All-American Comics 16 (1940);DC Comics;good;Male;0;5'11;180 cm;201 lb;90 kg;Blue;Blond;-;Gotham City and New York City"	" Formerly Capitol City;Justice Society of America"	 Formerly Checkmate	 the Sentinels of Magic	" Formerly All-Star Squadron;Harlequin (Molly Mayne-Scott) (wife);
"15;Alex Mercer;50;80;42;90;100;50;Alexander J. Mercer;No alter egos found.;Prototype;-;-;Wildstorm;bad;Male;Human;-;0 cm;- lb;0 kg;-;-;-;-;Gentek; The Infected;
"16;Alex Woolsly;0;37;0;0;0;0;Alex Woolsly;No alter egos found.;-;-;Heroes S02E16 - Building 26;NBC - Heroes;good;Male;0;-;0 cm;- lb;0 kg;-;-;Employee at Sam's Comics;Costa Verde; CA;-;
"17;Alfred Pennyworth;63;10;17;10;7;55;Alfred Thaddeus Crane Pennyworth;No alter egos found.;Alfred Beagle;-;Batman #16 (April; 1943);DC Comics;good;Male;Human;5'10;178 cm;160 lb;72 kg;Blue;Black;Butler"	" Caretaker; former Actor"	 Field Medic	" Government Agent;Wayne Manor"	 Batcave	" Gotham City;
"18;Alien;50;28;42;90;57;60;Xenomorph;No alter egos found.;-;Your chest :);Alien (1979);Dark Horse Comics;bad;Male;Xenomorph XX121;8'0;244 cm;375 lb;169 kg;-;No Hair;-;-;-;Alien Queen (mother);
